variable_name,variable_label,max_waves,ALB,AND,ARG,ARM,AUS,AZE,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LBN,LBY,LTU,LVA,MAC,MAR,MDA,MDV,MEX,MKD,MLI,MMR,MNE,MNG,MYS,NGA,NIC,NIR,NLD,NOR,NZL,PAK,PER,PHL,POL,PRI,PSE,QAT,ROU,RUS,RWA,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
B023,"Environmental problems in the world: Pollution of rivers, lakes and oceans.",1,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0
B030,Past two years: given money to ecological organization,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
B031,Past two years: participated in demonstration for environment,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
C001,Jobs scarce: Men should have more right to a job than women (3 categories),6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,2,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
C001_01,Jobs scarce: Men should have more right to a job than women (5 categories),1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1
C002,Jobs scarce: Employers should give priority to (nation) people than immigrants (,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,2,6,6,2,3,3,4,1,1,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,2,3,5,3,1,0,1,4,6,2,1,3,6,1,1,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,3,5,4,4,3,0,1,4,5,2,1,3,0,4,3,3,5,3,1,2,1,6,4,1,1,4,4,6,1,3,3,1,5,1,3
C002_01,Jobs scarce: Employers should give priority to (nation) people than immigrants (,1,0,1,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,1
C004,Jobs scarce: older people should be forced to retire,2,1,0,2,1,1,1,0,1,1,1,2,0,2,1,1,2,2,1,0,2,1,1,0,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,0,0,2,0,0,0,1,1,0,0,1,0,2,1,0,0,1,0,0,2,0,0,0,1,1,1,1,1,2,1,0,0,1,2,0,0,0,1,1,2,1,2,0,0,0,0,2,1,0,0,1,1,2,0,1,0,0,2,0,0
C005,Unfair to give work to handicapped people when able bodied people canÂ´t find jo,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C006,Satisfaction with financial situation of household,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,3,3,3,4,1,2,2,4,5,2,2,3,1,2,3,2,1,2,3,1,1,3,3,5,3,4,0,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
C008,Work compared with Leisure,2,2,0,2,1,1,1,0,2,1,2,1,0,1,1,1,2,2,1,0,1,1,1,1,0,1,2,1,0,1,0,0,1,0,0,0,0,1,0,1,1,2,1,0,1,0,1,2,0,0,1,2,0,0,0,1,1,0,1,2,0,2,2,0,0,2,0,0,2,0,0,0,1,1,0,2,2,0,2,0,0,1,1,0,1,1,1,2,1,1,1,0,0,0,0,2,1,1,1,1,1,2,0,2,1,0,2,0,1
C009,"First choice, if looking for a job",3,2,1,3,1,2,1,1,2,2,2,1,0,2,2,2,3,3,1,1,1,2,1,0,0,1,3,1,1,2,1,1,2,1,0,1,0,1,0,2,1,3,1,0,1,1,1,3,0,0,1,3,0,0,0,1,1,0,2,3,0,3,2,1,0,2,0,1,1,0,0,1,2,2,0,3,2,1,2,0,0,2,2,1,0,1,1,3,1,2,2,1,0,1,0,2,2,1,1,2,2,3,0,2,2,0,3,1,1
C010,Second choice if looking for a job,3,2,1,3,1,2,1,1,2,2,2,1,0,2,2,2,3,3,1,1,1,2,1,0,0,1,3,1,1,2,1,1,2,1,0,1,0,1,0,2,1,3,1,0,1,1,1,3,0,0,1,3,0,0,0,1,1,0,2,3,0,3,2,1,0,2,0,1,1,0,0,1,2,2,0,3,2,1,2,0,0,2,2,1,0,1,0,3,1,2,2,1,0,1,0,2,2,1,1,2,2,3,0,2,2,0,2,1,1
C011,Important in a job: good pay,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C012,Important in a job: not too much pressure,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C013,Important in a job: good job security,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C014,Important in a job: a respected job,4,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,4,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C015,Important in a job: good hours,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,2,0,1
C016,Important in a job: an opportunity to use initiative,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,2,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C017,Important in a job: generous holidays,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,2,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C018,Important in a job: that you can achieve something,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,2,0,1
C019,Important in a job: a responsible job,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C020,Important in a job: a job that is interesting,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,1,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,2,0,1
C021,Important in a job: a job that meets oneÂ´s abilities,5,2,0,4,1,2,1,0,2,1,2,2,0,2,3,1,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,3,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,0,2,0,0,1,2,0,1,1,0,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,1,1,0,3,0,1
C022,Important in a job: pleasant people to work with,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C023,Important in a job: good chances for promotion,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C024,Important in a job: a useful job for society,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C025,Important in a job: meeting people,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C027_90,Important in a job: none of these,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C031,Degree of pride in your work,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C033,Job satisfaction,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C034,Freedom decision taking in job,2,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
C036,To develop talents you need to have a job,2,1,1,2,0,1,0,1,1,1,1,0,0,1,2,1,2,2,0,1,0,1,0,0,0,1,2,0,1,1,0,0,1,1,0,1,0,0,0,1,1,2,0,0,1,1,1,2,0,0,1,2,0,0,0,0,0,0,2,2,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,1,0,2,0,1,2,1,0,1,0,1,0,1,1,1,1,2,0,0,2,0,2,1,1
C037,Humiliating to receive money without having to work for it,2,1,1,2,0,1,0,1,1,1,1,0,0,1,2,1,2,2,0,1,0,1,0,0,0,1,2,0,1,1,0,0,1,1,0,1,1,0,0,1,1,2,0,0,1,1,1,2,0,0,1,2,0,0,0,0,0,0,2,2,0,2,1,1,0,1,0,1,0,0,0,0,1,0,0,2,1,1,1,0,0,1,0,1,0,1,0,2,0,1,2,1,0,1,0,1,0,1,1,1,1,2,0,0,2,0,2,1,1
C038,People who donÂ´t work turn lazy,3,1,2,3,1,2,0,1,2,1,1,0,1,2,3,1,3,3,1,2,1,2,0,0,1,2,2,0,2,1,0,1,1,1,1,2,1,0,0,1,2,2,1,1,1,1,2,3,1,1,2,3,0,1,1,0,0,1,3,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,2,0,0,2,1,1,0,2,0,3,1,1,2,2,1,1,1,2,1,1,1,2,2,3,0,1,3,0,2,1,2
C039,Work is a duty towards society,3,1,2,3,1,2,0,1,2,1,1,0,1,2,3,1,3,3,1,2,1,2,0,0,1,2,2,0,2,1,0,1,1,1,1,2,2,0,0,1,2,2,1,1,1,1,2,3,1,1,2,3,0,1,1,0,0,1,3,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,2,0,0,2,1,1,0,2,0,3,1,1,2,2,1,1,1,2,1,1,1,2,2,3,0,1,3,0,2,1,2
C040,People should not have to work if they donÂ´t want to,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
C041,Work should come first even if it means less spare time,3,1,2,3,1,2,0,1,2,1,1,0,1,2,3,1,3,3,1,2,1,2,0,0,1,2,2,0,2,1,0,1,1,1,1,2,1,0,0,1,2,2,1,1,1,1,2,3,1,1,2,3,0,1,1,0,0,1,3,2,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,2,0,0,2,1,1,0,2,0,3,1,1,2,2,1,1,1,2,1,1,1,2,2,3,0,1,3,0,2,1,2
C042B1,Why people work: work is like a business transaction,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C042B2,Why people work: I do the best I can regardless of pay,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C042B3,Why people work: I wouldnâ€™t work if I didnâ€™t have to,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C042B4,Why people work: I wouldnÂ´t work if work interfered my life,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C042B5,Why people work: work most important in my life,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
C042B6,Why people work: I never had a paid job,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C042B7,Why people work: donâ€™t know,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
C059,Fairness: One secretary is paid more,5,2,1,5,1,2,1,1,2,2,2,2,0,3,4,3,4,4,2,1,2,2,1,1,0,2,4,1,1,3,0,0,2,1,0,1,1,1,0,3,2,4,2,0,0,1,2,5,0,0,1,4,0,0,0,1,1,0,2,3,0,5,2,1,0,2,0,1,3,0,0,0,2,2,0,3,2,1,2,0,0,2,2,1,1,1,1,3,2,2,5,1,0,1,0,4,2,1,1,2,2,5,0,1,2,0,4,1,1
C060,How business and industry should be managed,4,2,0,4,1,1,1,0,2,1,2,2,0,2,3,2,3,3,1,0,2,1,1,1,0,1,3,1,0,1,0,0,1,0,0,0,0,1,0,1,1,3,1,0,0,0,1,4,0,0,1,4,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,2,2,0,0,1,2,0,1,1,0,2,2,1,3,0,0,0,0,3,1,1,1,1,1,4,0,2,1,0,4,0,1
C061,Following instructions at work,5,2,0,4,1,1,1,0,2,1,2,2,0,2,3,1,3,3,0,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,3,0,0,1,4,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,0,2,2,0,2,0,0,1,2,0,1,1,1,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,2,1,0,3,0,1
C062,Work: until satisfied with results,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
C063,Work: accomplish personal goals,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
C064,Work: stay up late to finish,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0
D001,How much do you trust your family,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
D001_B,How much you trust: Your family (B),3,0,2,3,2,3,1,1,1,1,0,1,1,3,2,1,3,3,3,3,1,3,0,1,2,3,2,1,2,1,1,2,2,2,1,1,2,0,1,1,2,2,1,2,0,1,3,2,2,1,2,3,1,2,2,0,0,1,3,1,1,3,0,1,1,0,1,3,2,1,1,3,1,2,2,3,2,2,1,1,1,3,3,2,0,2,0,2,1,2,2,3,1,2,2,3,3,0,0,3,3,3,1,1,2,1,2,1,2
D002,Satisfaction with home life,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
D003,Sharing with partner: attitudes towards religion,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D004,Sharing with partner: moral standards,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
D005,Sharing with partner: social attitudes,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
